Unnamed: 0,cluster,star,element,synth_teff,synth_teff_err,synth_logg,synth_logg_err,synth_MH,synth_MH_err,synth_vmic,synth_vmic_err,synth_vmac,synth_vmac_err,synth_vsini,synth_vsini_err,synth_R,synth_R_err,vel_atomic,vel_atomic_err,synth_x_over_h,synth_x_over_h_err,synth_absolute_abund,synth_absolute_abund_err,synth_nlines,snr
97,FSR_0278,G2181046721475213568,Zr 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.03247499999999998,0.0992,2.7056,0.0956,1.0,89.0
123,FSR_0278,G2181047516056358016,Al 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.06824125177084023,0.0142,6.5406,0.0362,3.0,81.0
124,FSR_0278,G2181047516056358016,Ba 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.05533851762584385,0.006999999999999999,2.1766,0.0298,2.0,81.0
125,FSR_0278,G2181047516056358016,Ca 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.04992131187083225,0.0308,6.3782,0.0824,20.0,81.0
126,FSR_0278,G2181047516056358016,Ce 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.032049999999999995,0.1257,1.5969,0.1184,1.0,81.0
127,FSR_0278,G2181047516056358016,Co 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.026584472614196407,0.0331,4.9488,0.0849,18.0,81.0
128,FSR_0278,G2181047516056358016,Cr 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.06479426071945754,0.0725,5.6158,0.0568,12.0,81.0
129,FSR_0278,G2181047516056358016,Cu 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.10067306155776493,0.0359,4.0142,0.0545,2.0,81.0
130,FSR_0278,G2181047516056358016,Fe 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.04193581547567396,0.0607,7.4442,0.086,97.0,81.0
131,FSR_0278,G2181047516056358016,Fe 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.030970477360387133,0.0705,7.2636,0.0963,5.0,81.0
